Compounds,PE_element_1,PE_element_2,PE_element_3,Convalent_Radius_element_1,Convalent_Radius_element_2,Convalent_Radius_element_3,FIE_element_1,FIE_element_2,FIE_element_3,Row_element_1,Row_element_2,Row_element_3,DirectBand_Gap,Indirect_Band_Gap,Specific Heat Capacity J/(kg K)
TlAgCl3,1.62,1.93,3.16,148,153,99,589.4,731.0,1251.2,6,5,3,0.39,0.39,1829.6
LaAlO3,1.1,1.61,3.44,169,118,73,538.1,577.5,1313.9,6,3,2,5.02,4.84,3856.0
TlPdF3,1.62,2.2,3.98,148,131,71,589.4,804.4,1681.0,6,5,2,1.04,0.14,2872.0
TlAgF3,1.62,1.93,3.98,148,153,71,589.4,731.0,1681.0,6,5,2,0.0,0.0,2867.0
CsTlBr3,0.79,1.62,2.98,225,148,114,375.7,589.4,1139.9,6,6,4,0.37,0.37,3243.8999999999996
RbPdCl3,0.82,2.2,3.16,211,131,99,403.0,804.4,1251.2,5,5,3,1.17,0.32,2038.6
CsAgBr3,0.79,1.93,2.96,225,153,114,375.7,731.0,1139.9,6,5,4,0.34,0.34,3318.8999999999996
SrTiO3,0.95,1.54,3.44,192,136,73,549.9,658.8,1313.9,5,4,2,3.97,3.42,3577.0
TlHgF3,1.62,2.0,3.98,148,149,71,589.4,1007.1,1681.0,6,6,2,4.57,3.86,2771.5
RbAgBr3,0.82,1.93,2.96,211,153,114,403.0,731.0,1139.9,5,5,4,0.38,0.38,3440.8999999999996
CsPbBr3,0.79,1.87,2.96,225,147,114,375.7,715.6,1139.9,6,6,4,2.42,2.42,3210.8999999999996
CsCaBr3,0.79,1.0,2.96,225,174,114,375.7,589.8,1139.9,6,4,4,6.35,6.09,3714.8999999999996
CsPbCl3,0.79,1.87,3.16,225,147,99,375.7,715.6,1251.2,6,6,3,2.95,2.95,1803.6
KWO3,0.82,2.36,3.44,196,146,73,418.8,770.0,1313.9,4,6,2,0.08,0.08,3646.0
RbHgF3,0.82,2.0,3.98,211,149,71,403.0,1007.1,1681.0,5,6,2,4.77,2.59,2975.5
KAgBr3,0.82,1.93,2.96,196,153,114,418.8,731.0,1139.9,4,5,4,0.4,0.4,3833.8999999999996
KAgCl3,0.82,1.93,3.16,196,153,99,418.8,731.0,1251.2,4,5,3,0.01,0.01,2426.6
CsHgF3,0.79,2.0,3.98,225,149,71,375.7,1007.1,1681.0,6,6,2,4.51,2.65,2853.5
RbTlF3,0.82,1.62,3.98,211,148,71,403.0,589.4,1681.0,5,6,2,0.01,0.01,2996.0
RbIO3,0.82,2.66,3.44,211,133,73,403.0,1008.4,1313.9,5,5,2,3.88,3.88,3550.0
NaMoO3,0.93,2.16,3.44,154,145,73,495.8,684.3,1313.9,3,5,2,0.02,0.02,4238.0
LaReN3,1.1,1.9,3.04,169,159,75,538.1,760.0,1402.3,6,6,2,0.04,0.04,3452.0
RbAgCl3,0.82,1.93,3.16,211,153,99,403.0,731.0,1251.2,5,5,3,0.39,0.39,2033.6
KAgF3,0.82,1.93,3.98,196,153,71,418.8,731.0,1681.0,4,5,2,0.54,0.32,3464.0
KCuF3,0.82,1.9,3.98,196,138,71,418.8,745.5,1681.0,4,4,2,2.28,1.76,3613.4
TlCuF3,1.62,1.9,3.98,148,138,71,589.4,745.5,1681.0,6,4,2,2.25,1.82,3016.4
RbCuF3,0.82,1.9,3.98,211,138,71,403.0,745.5,1681.0,5,4,2,2.2,1.79,3220.4
CsSrCl3,0.79,0.95,3.16,225,192,99,375.7,549.5,1251.2,6,5,3,6.48,6.29,1976.6
BaBiO3,0.89,2.02,3.44,198,146,73,502.9,703.0,1313.9,6,6,2,0.25,0.25,3084.0
RbAgF3,0.82,1.93,3.98,211,153,71,403.0,731.0,1681.0,5,5,2,0.02,0.02,3071.0
CsPdBr3,0.79,2.2,2.96,225,131,114,375.7,804.4,1139.9,6,5,4,0.01,0.0,3323.8999999999996
RbOsO3,0.82,2.2,3.44,211,128,73,403.0,840.0,1313.9,5,6,2,0.0,0.0,3251.0
SrNbO3,0.95,1.6,3.44,192,137,73,549.5,652.1,1313.9,5,5,2,0.08,0.08,3322.0
KMnF3,0.82,1.55,3.98,196,139,71,418.8,717.3,1681.0,4,4,2,6.23,4.04,3708.0
CsSnF3,0.79,1.96,3.98,225,141,71,375.7,708.6,1681.0,6,5,2,4.1,4.1,2931.0
InGeCl3,1.78,2.01,3.16,144,122,99,558.3,762.0,1251.2,5,4,3,3.03,3.03,1989.0
NaTcO3,0.93,1.9,3.44,154,156,73,495.8,702.0,1313.9,3,5,2,0.13,0.01,4050.0
CsSrF3,0.79,0.95,3.98,225,192,71,375.7,549.5,1681.0,6,5,2,8.24,8.24,3014.0
RbGeBr3,0.82,2.01,2.96,211,122,114,403.0,762.0,1139.9,5,4,4,1.65,1.65,3527.2999999999997
RbInCl3,0.82,1.78,3.16,211,144,99,403.0,558.3,1251.2,5,5,3,0.57,0.57,2031.6
RbCrCl3,0.82,1.66,3.16,211,127,99,403.0,652.9,1251.2,5,4,3,0.83,0.16,2246.6
PbHfO3,1.87,1.3,3.44,147,150,73,715.6,658.5,1313.9,6,6,2,4.61,4.5,3028.0
RbPdBr3,0.82,2.2,2.96,211,131,114,403.0,804.4,1139.9,5,5,4,0.03,0.01,3445.8999999999996
RbSnBr3,0.82,1.96,2.96,211,141,114,403.0,708.6,1139.9,5,5,4,1.1,1.1,3422.8999999999996
TlMnF3,1.62,1.55,3.98,148,139,71,589.4,717.3,1681.0,6,4,2,4.78,3.92,3111.0
CsScBr3,0.79,1.36,2.96,225,144,114,375.7,633.1,1139.9,6,4,4,0.02,0.02,3650.8999999999996
NaWO3,0.93,2.36,3.44,154,146,73,495.8,770.0,1313.9,3,6,2,0.01,0.01,4119.0
RbPbF3,0.82,1.87,3.98,211,147,71,403.0,715.6,1681.0,5,6,2,4.91,4.8,2963.0
KIO3,0.82,2.66,3.44,196,133,73,418.8,1008.4,1313.9,4,5,2,3.52,3.52,3943.0
BaPbO3,0.89,1.87,3.44,198,147,73,502.9,715.6,1313.9,6,6,2,1.35,0.64,3089.0
TlGeF3,1.62,2.01,3.98,148,122,71,589.4,762.0,1681.0,6,4,2,4.33,3.99,2953.4
CsMnF3,0.79,1.55,3.98,225,139,71,375.7,717.3,1681.0,6,4,2,6.98,4.67,3193.0
TlFeF3,1.62,1.83,3.98,148,125,71,589.4,762.5,1681.0,6,4,2,2.85,2.51,3081.0
KCaF3,0.82,1.0,3.98,196,174,71,418.8,589.8,1681.0,4,4,2,8.71,8.59,3860.0
CsAgF3,0.79,1.93,3.98,225,153,71,375.7,731.0,1681.0,6,5,2,0.02,0.02,2949.0
CsSnI3,0.79,1.96,2.66,225,141,133,375.7,708.6,1008.4,6,5,5,0.85,0.85,1746.0
TlCuCl3,1.62,1.9,3.16,148,138,99,589.4,745.5,1251.2,6,4,3,0.05,0.05,1979.0
CsCaI3,0.79,1.0,2.66,225,174,133,375.7,589.8,1008.4,6,4,5,5.17,4.88,2160.0
KMnCl3,0.82,1.55,3.16,196,139,99,418.8,717.3,1251.2,4,4,3,5.73,3.62,2670.6
InSnBr3,1.78,1.96,2.96,144,141,114,558.3,708.6,1139.9,5,5,4,1.58,1.58,3291.8999999999996
InMnF3,1.78,1.55,3.98,144,139,71,558.3,717.3,1681.0,5,4,2,4.65,3.81,3184.0
RbInBr3,0.82,1.78,2.96,211,144,114,403.0,558.3,1139.9,5,5,4,0.5,0.5,3438.8999999999996
CsSrBr3,0.79,0.95,2.96,225,192,114,375.7,549.5,1139.9,6,5,4,5.58,5.35,3383.8999999999996
SrCrO3,0.95,1.66,3.44,192,127,73,549.5,652.9,1313.9,5,4,2,0.61,0.14,3505.0
KGeCl3,0.82,2.01,3.16,196,122,99,418.8,762.0,1251.2,4,4,3,2.16,2.16,2513.0
RbCuBr3,0.82,1.9,2.96,211,138,114,403.0,745.5,1139.9,5,4,4,0.24,0.24,3590.2999999999997
CsTlCl3,0.79,1.62,3.16,225,148,99,375.7,589.4,1251.2,6,6,3,0.45,0.45,1836.6
KNiF3,0.82,1.91,3.98,196,121,71,418.8,737.1,1681.0,4,4,2,5.59,5.35,3674.0
KHgF3,0.82,2.0,3.93,196,146,71,418.8,1007.1,1681.0,4,6,2,4.91,2.55,3368.5
TlGeCl3,1.62,2.01,3.16,148,122,99,589.4,762.0,1251.2,6,4,3,2.02,2.02,1916.0
RbCuCl3,0.82,1.9,3.16,211,138,99,403.0,745.5,1251.2,5,4,3,0.02,0.02,2183.0
AgCuF3,1.93,1.9,3.98,153,138,71,731.0,745.5,1681.0,5,4,2,0.12,0.12,3091.4
InSnCl3,1.78,1.96,3.16,144,141,99,558.3,708.6,1251.2,5,5,3,2.71,2.71,1884.6
LiSnCl3,0.98,1.96,3.16,134,141,99,520.2,708.6,1251.2,2,5,3,4.94,4.87,5221.6
KMgCl3,0.82,1.31,3.16,196,130,99,418.8,737.7,1251.2,4,3,3,6.44,6.05,3211.6
PbZrO3,1.87,1.33,3.44,147,148,73,715.6,640.1,1313.9,6,5,2,4.65,4.54,3162.0
RbMgCl3,0.82,1.31,3.16,211,130,99,403.0,737.7,1251.2,5,3,3,6.11,5.76,2818.6
NaTaO3,0.93,1.5,3.44,154,138,73,495.8,761.0,1313.9,3,6,2,4.78,4.13,4127.0
InPbCl3,1.78,1.87,3.16,144,147,99,558.3,715.6,1251.2,5,6,3,3.71,3.69,1794.6
RbGeI3,0.82,2.01,2.66,211,122,133,403.0,762.0,1008.4,5,4,5,1.35,1.35,1972.4
RbGeCl3,0.82,2.01,3.16,211,122,99,403.0,762.0,1251.2,5,4,3,2.45,2.45,2120.0
BaHfS3,0.89,1.3,2.58,198,150,102,502.9,658.5,999.6,6,6,3,1.93,1.45,2464.0
KCaCl3,0.82,1.0,3.16,196,174,99,418.8,589.8,1251.2,4,4,3,6.57,6.28,2822.6
RbTlBr3,0.82,1.62,2.96,211,148,114,403.0,589.4,1139.9,5,6,4,0.37,0.37,3365.8999999999996
RbMnCl3,0.82,1.55,3.16,211,139,99,403.0,717.3,1251.2,5,4,3,5.56,3.58,2277.6
NaReO3,0.93,1.9,3.44,154,159,73,495.8,760.0,1313.9,3,6,2,0.46,0.25,4124.0
CsInI3,0.79,1.78,2.66,225,144,133,375.7,558.3,1008.4,6,5,5,0.35,0.35,1762.0
BaLiF3,0.89,0.98,3.98,198,134,71,502.9,520.2,1681.0,6,3,2,8.64,8.64,6247.0
CsSeBr3,0.79,2.55,2.96,225,116,114,375.7,941.0,1139.9,6,4,4,0.15,0.02,3405.0999999999995
RbSnCl3,0.82,1.96,3.16,211,141,99,403.0,708.6,1251.2,5,5,3,1.61,1.61,2015.6
KMoO3,0.82,2.16,3.44,196,145,73,418.8,684.3,1313.9,4,5,2,0.07,0.07,3765.0
CsSrI3,0.79,0.95,2.66,225,192,133,375.7,549.5,1008.4,6,5,5,4.84,4.74,1829.0
AgMgF3,1.93,1.31,3.98,153,130,71,731.0,737.7,1681.0,5,3,2,4.83,4.16,3727.0
LaWN3,1.1,2.36,3.04,169,146,75,538.1,770.0,1402.3,6,6,2,2.09,0.97,3447.0
RbCaBr3,0.82,1.0,2.96,211,174,114,403.0,589.8,1139.9,5,4,4,6.06,5.76,3836.8999999999996
TlCoF3,1.62,1.88,3.98,148,126,71,589.4,760.4,1681.0,6,4,2,4.7,4.27,3053.0
KHfO3,0.82,1.3,3.44,196,150,73,418.8,658.5,1313.9,4,6,2,0.05,0.05,3658.0
RbCdCl3,0.82,1.69,3.16,211,148,99,403.0,867.8,1251.2,5,5,3,3.74,3.12,2028.6
BaMoO3,0.89,2.16,3.44,198,145,73,502.9,684.3,1313.9,6,5,2,0.18,0.0,3213.0
KCrCl3,0.82,1.66,3.16,196,127,99,418.8,652.9,1251.2,4,4,3,0.87,0.15,2639.6
KGeBr3,0.82,2.01,2.96,196,122,114,418.8,762.0,1139.9,4,4,4,1.47,1.47,3920.2999999999997
LaNiO3,1.1,1.91,3.44,169,121,73,538.1,737.1,1313.9,6,4,2,0.03,0.03,3397.0
TlAgBr3,1.62,1.93,2.96,148,153,114,589.4,731.0,1139.9,6,5,4,0.43,0.43,3236.8999999999996
InCaBr3,1.78,1.0,2.96,144,174,114,558.3,589.8,1139.9,5,4,4,4.47,4.32,3705.8999999999996
LaCuO3,1.1,1.9,3.44,169,138,73,538.1,745.5,1313.9,6,4,2,1.18,0.14,3336.4
TlCaF3,1.62,1.0,3.93,148,174,71,589.4,589.8,1681.0,6,4,2,6.25,6.21,3263.0
SrSnO3,0.95,1.96,3.44,192,141,73,549.5,708.6,1313.9,5,5,2,3.6,2.78,3274.0
SrHfO3,0.95,1.3,3.44,192,150,73,549.5,658.5,1313.9,5,6,2,5.67,5.26,3201.0
LaFeO3,1.1,1.83,3.44,169,71,73,538.1,1681.0,1313.9,6,4,2,0.02,0.02,3401.0
CsPbI3,0.79,1.87,2.66,225,147,133,375.7,715.6,1008.4,6,6,5,2.04,2.04,1656.0
BaZrS3,0.89,1.33,2.58,198,148,102,502.9,640.1,999.6,6,5,3,1.81,1.29,2598.0
SrRuO3,0.95,2.2,3.44,192,126,73,549.5,710.2,1313.9,5,5,2,0.34,0.0,3295.0
LaCoO3,1.1,1.88,3.44,169,126,73,538.1,760.4,1313.9,6,4,2,0.43,0.11,3373.0
NaOsO3,0.93,2.2,3.44,154,128,73,495.8,840.0,1313.9,3,6,2,0.04,0.04,4117.0
AgZnF3,1.93,1.65,3.98,153,131,71,731.0,906.4,1681.0,5,4,2,4.45,3.86,3095.0
RbSnI3,0.82,1.96,2.66,211,141,133,403.0,708.6,1008.4,5,5,5,0.82,0.82,1868.0
RbPbBr3,0.82,1.87,2.96,211,147,114,403.0,715.6,1139.9,5,6,4,2.4,2.4,3332.8999999999996
RbPbCl3,0.82,1.87,3.16,211,147,99,403.0,715.6,1251.2,5,6,3,2.92,2.92,1925.6
KCdCl3,0.82,1.69,3.16,196,148,99,418.8,867.8,1251.2,4,5,3,3.82,3.31,2421.6
TlNiF3,1.62,1.91,3.98,148,121,71,589.4,737.1,1681.0,6,4,2,4.41,4.19,3077.0
RbSrCl3,0.82,0.95,3.16,211,192,99,403.0,549.5,1251.2,5,5,3,6.13,5.91,2098.6
AgTaO3,1.93,1.5,3.44,153,138,73,731.0,761.0,1313.9,5,6,2,3.61,3.38,3132.0
BiNiO3,2.02,1.91,3.44,146,121,73,703.0,737.1,1313.9,6,4,2,0.83,0.02,3324.0
TlSnF3,1.62,1.96,3.98,148,141,71,589.4,708.6,1681.0,6,5,2,3.96,3.45,2849.0
TlGeBr3,1.62,2.01,2.96,148,122,114,589.4,762.0,1139.9,6,4,4,1.28,1.28,3323.2999999999997
RbSeBr3,0.82,2.55,2.96,211,116,114,403.0,941.0,1139.9,5,4,4,0.08,0.01,3527.0999999999995
TlCaCl3,1.62,1.0,3.16,148,174,99,589.4,589.8,1251.2,6,4,3,5.46,5.12,2225.6
SrTcO3,0.95,1.9,3.44,192,156,73,549.5,702.0,1313.9,5,5,2,2.52,1.82,3120.0
RbCaI3,0.82,1.0,2.66,211,174,133,403.0,589.8,1008.4,5,4,5,4.71,4.4,2282.0
SrZrO3,0.95,1.33,3.44,192,148,73,549.5,640.1,1313.9,5,5,2,5.27,4.86,3335.0
AgNiF3,1.93,1.91,3.98,153,121,71,731.0,737.1,1681.0,5,4,2,4.36,3.33,3152.0
TlCdCl3,1.62,1.69,3.16,148,148,99,589.4,867.8,1251.2,6,5,3,3.99,3.38,1824.6
RbSnF3,0.82,1.96,3.98,211,141,71,403.0,708.6,1681.0,5,5,2,3.58,3.57,3053.0
LaCrO3,1.1,1.66,3.44,169,127,73,538.1,652.9,1313.9,6,4,2,3.71,2.95,3400.0
LaMnO3,1.1,1.55,3.44,169,139,73,538.1,717.3,1313.9,6,4,2,2.26,0.32,3431.0
KCaBr3,0.82,1.0,2.96,196,174,114,418.8,589.8,1139.9,4,4,4,5.36,5.11,4229.9
CaTiO3,1.0,1.54,3.44,174,136,73,589.8,658.8,1313.9,4,4,2,4.03,3.44,3908.0
LaVO3,1.1,1.63,3.44,169,125,73,538.1,650.9,1313.9,6,4,2,2.29,0.26,3441.0
RbAuI3,0.82,2.54,2.66,211,144,133,403.0,890.1,1008.4,5,6,5,0.01,0.01,1780.1
CsAuI3,0.79,2.54,2.66,225,144,133,375.7,890.1,1008.4,6,6,5,0.01,0.01,1658.1
TlInCl3,1.62,1.78,3.16,148,144,99,589.4,558.3,1251.2,6,5,3,0.32,0.32,1827.6
RbPbI3,0.82,1.87,2.66,211,144,133,403.0,715.6,1008.4,5,6,5,2.01,2.01,1778.0
LaTiO3,1.1,1.54,3.44,169,136,73,538.1,658.8,1313.9,6,4,2,0.1,0.03,3472.0
CsAuBr3,0.79,2.54,2.96,225,144,114,375.7,890.1,1139.9,6,6,4,0.28,0.28,3212.9999999999995
CsAuCl3,0.79,2.54,3.16,225,144,99,375.7,890.1,1251.2,6,6,3,0.25,0.25,1805.6999999999998
BaZrSe3,0.89,1.33,2.55,198,148,116,502.9,640.1,941.0,6,5,4,1.44,1.01,1446.6
CaTcO3,1.0,1.9,3.44,174,156,73,589.8,702.0,1313.9,4,5,2,2.71,2.09,3451.0
LaGaO3,1.1,1.81,3.44,169,126,73,538.1,578.8,1313.9,6,4,2,5.08,4.77,3323.0
KCoF3,0.82,1.88,3.98,196,126,71,418.8,760.4,1681.0,4,4,2,4.71,4.02,3650.0
RbCoF3,0.82,1.88,3.98,211,126,71,403.0,760.4,1681.0,5,4,2,4.6,4.03,3257.0
YNiO3,1.22,1.91,3.44,162,121,73,600.0,737.1,1313.9,5,4,2,0.02,0.02,3500.0
TlNiO3,1.62,1.91,3.44,148,121,73,589.4,737.1,1313.9,6,4,2,0.0,0.0,3362.0
YReN3,1.22,1.9,3.04,162,159,75,600.0,760.0,1402.3,5,6,2,0.12,0.12,3555.0
SrCoO3,0.95,1.88,3.44,192,126,73,549.5,760.4,1313.9,5,4,2,0.88,0.28,3478.0
